Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-01-27T12:54:14.204Z","Included","gemini-3-flash-preview","No","0","1279070","3858459","19321","5156850","0.84"
"2026-01-27T12:52:15.512Z","Included","gemini-3-flash-preview","No","0","231582","7975","750","240307","0.12"
"2026-01-27T12:07:33.039Z","Included","gemini-3-flash-preview","No","0","21014","1610990","892","1632896","0.09"
"2026-01-27T11:51:58.621Z","Included","gemini-3-flash-preview","No","0","1013525","7878422","34689","8926636","0.97"
"2026-01-27T11:46:05.729Z","Included","gemini-3-flash-preview","No","0","1086002","7772927","6960","8865889","0.95"
"2026-01-27T11:45:06.336Z","Included","gemini-3-flash-preview","No","0","65080","265879","897","331856","0.05"
"2026-01-27T11:41:22.447Z","Included","gemini-3-flash-preview","No","0","61382","467420","1017","529819","0.06"
"2026-01-27T11:38:02.143Z","Included","gemini-3-flash-preview","No","0","2551","100783","858","104192","0.01"
"2026-01-27T11:37:49.888Z","Included","gemini-3-flash-preview","No","0","0","0","0","0","0.00"
"2026-01-27T11:35:56.201Z","Included","gemini-3-flash-preview","No","0","286169","615366","1216","902751","0.18"
"2026-01-27T11:26:16.939Z","Included","claude-4.5-sonnet-thinking","No","14949","601162","3773316","7837","4397264","2.62"
"2026-01-27T11:24:21.673Z","Included","claude-4.5-sonnet-thinking","No","624163","8","0","638","624809","4.70"
"2026-01-27T11:16:43.941Z","Included","gemini-3-flash-preview","No","0","1617171","48262047","21685","49900903","3.27"
"2026-01-27T10:58:45.972Z","Included","gemini-3-flash-preview","No","0","4087832","75151891","55219","79294942","5.95"
"2026-01-27T10:36:06.555Z","Included","gemini-3-flash-preview","No","0","411808","1306717","2491","1721016","0.28"
"2026-01-27T10:32:19.698Z","Included","grok-code-fast-1","No","0","96282","987648","1623","1085553","0.04"
"2026-01-27T10:25:55.710Z","Included","gemini-3-flash-preview","No","0","429548","892188","14510","1336246","0.26"
"2026-01-27T10:07:32.939Z","Included","gemini-3-flash-preview","No","0","904682","4118642","15363","5038687","0.66"
"2026-01-27T10:04:16.209Z","Included","gemini-3-flash-preview","No","0","229855","11991","406","242252","0.12"
"2026-01-27T10:01:56.413Z","Included","gemini-3-flash-preview","No","0","312216","4058681","1798","4372695","0.36"
"2026-01-27T09:54:14.007Z","Included","gemini-3-flash-preview","No","0","0","0","0","0","0.00"
"2026-01-27T09:38:41.371Z","Included","gemini-3-flash-preview","No","0","633089","741052","10602","1384743","0.35"
"2026-01-27T09:37:59.674Z","Included","gemini-3-flash-preview","No","0","67403","119820","524","187747","0.04"
"2026-01-27T09:34:17.174Z","Included","gemini-3-flash-preview","No","0","654771","518854","9315","1182940","0.38"
"2026-01-27T09:32:50.769Z","Included","gemini-3-flash-preview","No","0","219944","23813","168","243925","0.11"
"2026-01-27T09:09:25.291Z","Included","gemini-3-flash-preview","No","0","107807","11904","495","120206","0.06"
"2026-01-27T08:55:18.212Z","Included","gemini-3-flash-preview","No","0","126263","434889","1054","562206","0.09"
"2026-01-27T08:54:10.267Z","Included","gemini-3-flash-preview","No","0","323072","1881875","3565","2208512","0.27"
"2026-01-27T08:54:05.376Z","Included","gemini-3-flash-preview","No","0","97822","187252","373","285447","0.06"
"2026-01-27T08:50:09.460Z","Included","gemini-3-flash-preview","No","0","126287","1158168","505","1284960","0.12"
"2026-01-27T08:47:56.938Z","Included","gemini-3-flash-preview","No","0","67589","79320","617","147526","0.04"
"2026-01-27T08:47:16.323Z","Included","gemini-3-flash-preview","No","0","58119","7914","23","66056","0.03"
"2026-01-27T08:30:33.037Z","Included","gemini-3-flash-preview","No","0","196586","975563","4325","1176474","0.16"
"2026-01-27T08:27:19.063Z","Included","gemini-3-flash-preview","No","0","3603","35198","606","39407","0.01"
"2026-01-27T08:25:30.396Z","Included","gemini-3-flash-preview","No","0","72818","369080","917","442815","0.06"
"2026-01-27T07:17:18.443Z","Included","grok-code-fast-1","No","0","138303","2108032","1425","2247760","0.07"
